No,ID,Last name,First name,Gender,DOB,Social ID
1,19127197,Hoang,Lien,M,01/01/2002,792011232
2,19127273,Huynh,Thanh,M,02/01/2002,792011232
3,19127417,Tran,Hung,M,03/01/2002,792011232
4,19127579,Vu,Tien,M,04/01/2002,792011232
5,19127584,Mach,Toan,M,05/01/2002,792011232
6,20127004,Huynh,Bao,M,06/01/2002,792011232
7,20127028,Vo,Hoang,M,07/01/2002,792011232
8,20127030,Nguyen,Hung,M,08/01/2002,792011232
9,20127037,Le,Huy,M,09/01/2002,792011232
10,20127040,Truong,Huy,M,10/01/2002,792011232
11,20127045,Vo,Khoi,M,11/01/2002,792011232
12,20127048,Luu,Minh,M,12/01/2002,792011232
13,20127049,Nguyen,Minh,M,13/01/2002,792011232
14,20127054,Ngo,Nguyen,M,14/01/2002,792011232
15,20127060,Nguyen,Nien,M,15/01/2002,792011232
16,20127062,Nguyen,Phu,M,16/01/2002,792011232
17,20127068,Ho,Tai,M,17/01/2002,792011232
18,20127092,Nguyen,Tuan,M,18/01/2002,792011232
19,20127094,Nguyen,Van,M,19/01/2002,792011232
20,20127124,Dang,Chau,M,20/01/2002,792011232
21,20127176,Do,Hung,M,21/01/2002,792011232
22,20127201,Truong,Khang,M,22/01/2002,792011232
23,20127247,Phan,Nam,M,23/01/2002,792011232
24,20127261,Nguyen,Nguyen,M,24/01/2002,792011232
25,20127262,Nguyen,Nguyen,M,25/01/2002,792011232
26,20127293,Qui,Quan,M,26/01/2002,792011232
27,20127297,Nguyen,Quang,M,27/01/2002,792011232
28,20127304,Tran,Quoc,M,28/01/2002,792011232
29,20127306,Nguyen,Quynh,M,29/01/2002,792011232
30,20127315,Nguyen,Tai,M,30/01/2002,792011232
31,20127333,Nguyen,Thinh,M,31/01/2002,792011232
32,20127367,Nguyen,Trinh,M,01/02/2002,792011232
33,20127380,Duong,Tung,M,02/02/2002,792011232
34,20127385,Huynh,Uy,M,03/02/2002,792011232
35,20127406,Thai,Phong,M,04/02/2002,792011232
36,20127411,Do,Thanh,M,05/02/2002,792011232
37,20127419,Nguyen,Viet,M,06/02/2002,792011232
38,20127473,Vu,Dung,M,07/02/2002,792011232
39,20127495,Thai,Hien,M,08/02/2002,792011232
40,20127515,Nguyen,Huy,M,09/02/2002,792011232
41,20127519,Nguyen,Huy,M,10/02/2002,792011232
42,20127527,Pham,Khang,M,11/02/2002,792011232
43,20127547,Phan,Lap,M,12/02/2002,792011232
44,20127548,Dong,Linh,M,13/02/2002,792011232
45,20127560,Pham,Luong,M,14/02/2002,792011232
46,20127582,Le,Nhat,M,15/02/2002,792011232
47,20127593,Lai,Phu,M,16/02/2002,792011232
48,20127594,Nguyen,Phu,M,17/02/2002,792011232
49,20127600,Luu,Quan,M,18/02/2002,792011232
50,20127654,Nguyen,Trung,M,19/02/2002,792011232
51,20127672,Vu,Quan,M,20/02/2002,792011232
52,20127677,Ha,Lam,M,21/02/2002,792011232
